"Record_ID","Functional_outcome","Validation_stage","Regenerative_endpoint"
"FS0048","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0049","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Intervertebral-disc regeneration"
"FS0050","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0054","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0056","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal","Cartilage regeneration/chondroprotection"
"FS0058","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Organoid/chip; Small animal; Human-derived","Periodontal/oral-tissue regeneration"
"FS0059","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Periodontal/oral-tissue regeneration"
"FS0062","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell","Cartilage regeneration/chondroprotection"
"FS0067","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal","Bone regeneration/osteogenesis"
"FS0071","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal","Bone regeneration/osteogenesis"
"FS0073","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal; Human-derived","Intervertebral-disc regeneration"
"FS0077","Footprint/gait analysis showed recovery of gait pattern and mobility toward the non-injured pattern.","Cell; Organoid/chip; Small animal","Cartilage regeneration/chondroprotection"
"FS0079","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Human-derived","Stemness/proliferation/differentiation restoration"
"FS0080","No direct functional outcome demonstrated; reported mechanical measurements characterized the material rather than recovered tissue/organ function","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0081","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Wound healing/skin regeneration"
"FS0082","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0087","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Stemness/proliferation/differentiation restoration"
"FS0090","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0093","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal; Human-derived","Wound healing/skin regeneration"
"FS0097","Three-point bending showed improved maximum load and mechanical integrity of the regenerated femur.","Cell; Ex vivo; Organoid/chip; Small animal","Bone regeneration/osteogenesis"
"FS0098","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Large animal","Intervertebral-disc regeneration"
"FS0102","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal","General tissue-regeneration enabling evidence"
"FS0105","Compression testing showed restoration of annulus-fibrosus tissue modulus toward the sham range.","Cell; Small animal; Human-derived","Intervertebral-disc regeneration"
"FS0107","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0109","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Organoid/chip; Small animal","Cartilage regeneration/chondroprotection"
"FS0111","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Organoid/chip; Small animal; Human-derived","Cartilage regeneration/chondroprotection"
"FS0112","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0113","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0114","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Cartilage regeneration/chondroprotection"
"FS0117","Forelimb gait-pressure mapping showed improved contact area, pressure distribution and load-bearing capacity.","Cell; Ex vivo; Small animal; Human-derived","Bone regeneration/osteogenesis"
"FS0122","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Organoid/chip; Small animal","Wound healing/skin regeneration"
"FS0124","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Stemness/proliferation/differentiation restoration"
"FS0125","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Organoid/chip; Small animal; Human-derived","Periodontal/oral-tissue regeneration"
"FS0129","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Intervertebral-disc regeneration"
"FS0130","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Cartilage regeneration/chondroprotection"
"FS0133","No direct functional outcome demonstrated; reported mechanical measurements characterized the material rather than recovered tissue/organ function","Cell; Ex vivo; Small animal","Intervertebral-disc regeneration"
"FS0134","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Organoid/chip; Small animal; Human-derived","Bone regeneration/osteogenesis"
"FS0135","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0136","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0142","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Cartilage regeneration/chondroprotection"
"FS0147","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Intervertebral-disc regeneration"
"FS0148","Gait testing showed improved running speed and ground-reaction force, consistent with improved motor function and reduced pain.","Cell; Small animal","Cartilage regeneration/chondroprotection"
"FS0150","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Wound healing/skin regeneration"
"FS0151","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0153","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Skeletal-muscle regeneration"
"FS0157","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Organoid/chip; Small animal","Bone regeneration/osteogenesis"
"FS0164","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal","Periodontal/oral-tissue regeneration"
"FS0166","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Intervertebral-disc regeneration"
"FS0167","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0168","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Intervertebral-disc regeneration"
"FS0173","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Stemness/proliferation/differentiation restoration"
"FS0178","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal","Intervertebral-disc regeneration"
"FS0183","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Organoid/chip; Small animal","Pulmonary repair/function"
"FS0184","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0186","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0187","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Intervertebral-disc regeneration"
"FS0188","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Neural regeneration/function"
"FS0196","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","General tissue-regeneration enabling evidence"
"FS0199","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Human-derived","Cartilage regeneration/chondroprotection"
"FS0203","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Cartilage regeneration/chondroprotection"
"FS0205","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Organoid/chip; Small animal; Human-derived","Cartilage regeneration/chondroprotection"
"FS0207","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0208","No direct functional outcome demonstrated; reported mechanical measurements characterized the material rather than recovered tissue/organ function","Cell; Ex vivo; Human-derived","Stemness/proliferation/differentiation restoration"
"FS0212","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0213","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Organoid/chip; Small animal","Hepatic repair/function"
"FS0219","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0222","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Large animal","Intervertebral-disc regeneration"
"FS0223","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Organoid/chip; Small animal; Human-derived","Wound healing/skin regeneration"
"FS0226","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0227","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","General tissue-regeneration enabling evidence"
"FS0230","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Wound healing/skin regeneration"
"FS0232","No direct functional improvement demonstrated; pain assays were performed but showed no significant intergroup difference","Cell; Small animal","Intervertebral-disc regeneration"
"FS0234","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Human-derived","Stemness/proliferation/differentiation restoration"
"FS0238","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal; Human-derived","Wound healing/skin regeneration"
"FS0239","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell","Stemness/proliferation/differentiation restoration"
"FS0240","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Stemness/proliferation/differentiation restoration"
"FS0242","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0243","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell","Bone regeneration/osteogenesis"
"FS0244","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Cartilage regeneration/chondroprotection"
"FS0247","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Vascular regeneration/angiogenesis"
"FS0248","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Bone regeneration/osteogenesis"
"FS0250","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Bone regeneration/osteogenesis"
"FS0252","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Bone regeneration/osteogenesis"
"FS0261","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Organoid/chip; Small animal","Stemness/proliferation/differentiation restoration"
"FS0262","Mechanical testing showed improved bone strength after targeted MMP9 inhibition in aged mice.","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0270","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0272","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Human-derived","Vascular regeneration/angiogenesis"
"FS0278","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal","Cartilage regeneration/chondroprotection"
"FS0279","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Cartilage regeneration/chondroprotection"
"FS0282","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0283","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0284","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0290","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal; Human-derived","Wound healing/skin regeneration"
"FS0292","Paw-print gait analysis showed improved locomotor parameters in diabetic rats after GZPT treatment.","Cell; Small animal","Tendon/ligament regeneration"
"FS0295","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0296","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0300","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Cartilage regeneration/chondroprotection"
"FS0303","Echocardiography showed improved ejection fraction, fractional shortening and ventricular dimensions.","Cell; Ex vivo; Small animal; Human-derived","Cardiac repair/function"
"FS0306","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Tendon/ligament regeneration"
"FS0307","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0308","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Intervertebral-disc regeneration"
"FS0310","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Wound healing/skin regeneration"
"FS0311","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0312","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell","Intervertebral-disc regeneration"
"FS0313","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0322","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Cartilage regeneration/chondroprotection"
"FS0323","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0324","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0326","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Organoid/chip; Human-derived","Wound healing/skin regeneration"
"FS0327","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal","Wound healing/skin regeneration"
"FS0328","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Vascular regeneration/angiogenesis"
"FS0329","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0338","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Intervertebral-disc regeneration"
"FS0341","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0345","No direct functional outcome demonstrated; reported mechanical measurements characterized the material rather than recovered tissue/organ function","Cell; Small animal","Wound healing/skin regeneration"
"FS0346","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Bone regeneration/osteogenesis"
"FS0348","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Organoid/chip; Small animal","Bone regeneration/osteogenesis"
"FS0350","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal","Bone regeneration/osteogenesis"
"FS0356","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Cardiac repair/function"
"FS0358","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Periodontal/oral-tissue regeneration"
"FS0361","Gait analysis showed improved walking speed, contact area and stride parameters in arthritic rats.","Cell; Small animal; Human-derived","Cartilage regeneration/chondroprotection"
"FS0362","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0365","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal","Bone regeneration/osteogenesis"
"FS0367","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0371","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Hepatic repair/function"
"FS0374","Mechanical testing of the implanted tracheal substitute showed restored compressive and tensile integrity.","Cell; Small animal","Cartilage regeneration/chondroprotection"
"FS0376","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0380","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Intervertebral-disc regeneration"
"FS0382","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Organoid/chip; Small animal","Cartilage regeneration/chondroprotection"
"FS0384","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0385","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Intervertebral-disc regeneration"
"FS0386","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0389","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0391","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0392","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0393","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Neural regeneration/function"
"FS0394","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Stemness/proliferation/differentiation restoration"
"FS0395","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0397","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Bone regeneration/osteogenesis"
"FS0399","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Bone regeneration/osteogenesis"
"FS0400","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Organoid/chip; Small animal","Bone regeneration/osteogenesis"
"FS0401","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Organoid/chip; Small animal","Bone regeneration/osteogenesis"
"FS0402","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0404","Von Frey and hotplate tests showed reduced OA pain hypersensitivity after LNP-FGF18 mRNA treatment.","Cell; Ex vivo; Small animal; Human-derived","Cartilage regeneration/chondroprotection"
"FS0406","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal","Wound healing/skin regeneration"
"FS0409","Footprint analysis and Basso Mouse Scale scoring showed improved locomotor recovery after PM-sEVs-Cur treatment.","Cell; Small animal; Human-derived","Neural regeneration/function"
"FS0414","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Human-derived","Cartilage regeneration/chondroprotection"
"FS0418","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Wound healing/skin regeneration"
"FS0419","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0424","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0428","No direct functional outcome demonstrated; reported mechanical measurements characterized the material rather than recovered tissue/organ function","Cell; Small animal","Intervertebral-disc regeneration"
"FS0430","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Intervertebral-disc regeneration"
"FS0433","Forelimb gait-pressure, contact-area and stride analyses demonstrated improved load-bearing function after treatment.","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0436","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0438","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Organoid/chip; Small animal","Cartilage regeneration/chondroprotection"
"FS0439","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Bone regeneration/osteogenesis"
"FS0440","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0446","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Cartilage regeneration/chondroprotection"
"FS0449","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Wound healing/skin regeneration"
"FS0450","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell","Bone regeneration/osteogenesis"
"FS0453","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Organoid/chip; Small animal; Human-derived","Cardiac repair/function"
"FS0454","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal; Human-derived","Intervertebral-disc regeneration"
"FS0458","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell","Cartilage regeneration/chondroprotection"
"FS0459","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal","Cartilage regeneration/chondroprotection"
"FS0460","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0461","No direct functional outcome demonstrated; evidence was structural, imaging, histological or molecular rather than a direct function assay","Cell; Small animal","Intervertebral-disc regeneration"
"FS0462","Plantar-pressure gait mapping and tensile testing demonstrated recovery of tendon load-bearing and mechanical integrity.","Cell; Small animal","Tendon/ligament regeneration"
"FS0465","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell","Wound healing/skin regeneration"
"FS0469","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0470","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Human-derived","Cartilage regeneration/chondroprotection"
"FS0471","No direct functional outcome demonstrated; evidence was structural, imaging, histological or molecular rather than a direct function assay","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0472","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0478","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Cartilage regeneration/chondroprotection"
"FS0482","Behavioral gait analysis showed improved stance, swing and stride parameters in the ONFH model.","Cell; Small animal; Human-derived","Bone regeneration/osteogenesis"
"FS0487","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0490","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0492","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0498","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Cartilage regeneration/chondroprotection"
"FS0506","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Cartilage regeneration/chondroprotection"
"FS0507","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0513","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Human-derived","General tissue-regeneration enabling evidence"
"FS0515","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell","Stemness/proliferation/differentiation restoration"
"FS0516","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0522","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Human-derived","Stemness/proliferation/differentiation restoration"
"FS0526","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Human-derived","Stemness/proliferation/differentiation restoration"
"FS0534","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0535","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Wound healing/skin regeneration"
"FS0536","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo","Stemness/proliferation/differentiation restoration"
"FS0538","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Bone regeneration/osteogenesis"
"FS0539","No direct functional outcome demonstrated; reported mechanical measurements characterized the material rather than recovered tissue/organ function","Cell; Ex vivo","Stemness/proliferation/differentiation restoration"
