"Gap_type","Record_ID","Material","Existing_relations","Missing_relation"
"TYPE_B","FS0178","D-EV-loaded thermosensitive injectable hydrogel","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0187","Mn3O4-nanoparticle photothermal hydrogel","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0196","Polyacrylamide/alginate viscoelastic hydrogel","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0212","Prussian Blue nanoparticles","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0234","Surface-elastic StG hydrogels","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0239","FN9-10ELP extracellular-matrix-mimetic fusion protein","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0244","Quercetin-treated human-auricular-chondrocyte/GelMA construct","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0252","Immunomodulating regenerating hydrogel","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0278","Synovium-targeting senolytic liposomes plus M2-macrophage exosomes","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0306","MSC-educated tendon (METn) construct","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0308","OSK-protein-delivery and inflammatory-niche-remodeling platform","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0312","HG-QNT nanocomposite hydrogel","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0326","AAV-loaded extracellular-vesicle biomimetic gene-delivery system","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0382","Nanozyme-Integrated 3D-Printed Gradient Scaffold","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0404","synFGF18 mRNA lipid nanoparticles","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0428","Self-healing hydrogels loaded with Spatholobi Caulis","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0430","HIF1A@NNP nanoplatform","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0439","TA-PFC/PCK fiber scaffold","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0446","Biomimetic hydrogel delivers engineered exosomes","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0450","Collagen-coated polyacrylamide hydrogels","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0461","Active Magnesium Boride/Alginate Hydrogels","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0482","miR-146a-5p-engineered exosomes","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0637","Microtopographic polymer substrates","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0642","Baghdadite Ceramics","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0788","Ruxolitinib-loaded hierarchically biomimetic nanostructural scaffold","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0843","Extracellular-vesicle-conjugated functional-matrix hydrogel","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0882","Tonsil-derived mesenchymal stem cells incorporated in reactive oxygen species-releasing hydrogel","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0912","Dual-drug-encapsulated liposomal nanoparticles","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0916","Honey-incorporated electrospun nanofiber membrane","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS1020","SRT1720-loaded calcium-phosphate/magnesium-phosphate nanocarriers","TARGETS + MODULATES","PROMOTES"
"TYPE_C","FS0044","Lubricated hydrogel with STING-inhibiting EXOs","DELIVERS + PROMOTES","MODULATES"
"TYPE_C","FS0117","Senomorphic Small Extracellular Vesicles Delivered by a Tissue-Adhesive α-Lipoic-Acid Hydrogel","DELIVERS + PROMOTES","MODULATES"
"TYPE_C","FS0134","Electrospun scaffold–bioreactor system","DELIVERS + PROMOTES","MODULATES"
"TYPE_C","FS0184","GEA/NGel senolysis-targeting bioenergetic nanoplatform","DELIVERS + PROMOTES","MODULATES"
"TYPE_C","FS0186","(ZIF-8@CeO2)@GOx-loaded sprayable GelMA hydrogel","DELIVERS + PROMOTES","MODULATES"
"TYPE_C","FS0213","FGF-4/IGF-1-loaded cationic thermosensitive polymer scaffold","DELIVERS + PROMOTES","MODULATES"
"TYPE_C","FS0295","GelMA@ZIF-8/PGE microsphere–hydrogel platform","DELIVERS + PROMOTES","MODULATES"
"TYPE_C","FS0313","TPG@ChSMA mitochondrial-targeted hydrogel","DELIVERS + PROMOTES","MODULATES"
"TYPE_C","FS0367","Adhesive injectable NRF2-modulating hydrogel microspheres","DELIVERS + PROMOTES","MODULATES"
"TYPE_C","FS0376","Mitochondrial-metabolism/efferocytosis-modulating microcarriers","DELIVERS + PROMOTES","MODULATES"
"TYPE_C","FS0389","Enucleated-MSC-derived mitochondria-transfer microvesicles","DELIVERS + PROMOTES","MODULATES"
"TYPE_C","FS0391","rhBMP-2/rapamycin co-treatment without an engineered carrier","DELIVERS + PROMOTES","MODULATES"
"TYPE_C","FS0394","Quercetin-loaded homogeneous PLGA microspheres","DELIVERS + PROMOTES","MODULATES"
"TYPE_C","FS0397","Cordycepin-Loaded Dental Pulp Stem Cell-Derived Exosomes","DELIVERS + PROMOTES","MODULATES"
"TYPE_C","FS0409","Curcumin-loaded milk-sEV/platelet-membrane hybrid vesicles","DELIVERS + PROMOTES","MODULATES"
"TYPE_C","FS0433","Quercetin-loaded aligned-nanowire hydrogel","DELIVERS + PROMOTES","MODULATES"
"TYPE_C","FS0507","Tannic-acid-loaded calcium-alginate/silk-fibroin-peptide/Bletilla-polysaccharide microspheres","DELIVERS + PROMOTES","MODULATES"
"TYPE_C","FS0538","ZIF-8/resveratrol nanoformulation","DELIVERS + PROMOTES","MODULATES"
"TYPE_C","FS0657","Quercetin/HA-loaded TG-18 hydrogel","DELIVERS + PROMOTES","MODULATES"
"TYPE_C","FS0810","ASD all-in-one smart hydrogel dressing","DELIVERS + PROMOTES","MODULATES"
"TYPE_C","FS1040","Hairyvein-agrimony-nanovesicle-loaded microneedles","DELIVERS + PROMOTES","MODULATES"
