"Record_ID","Material","Target_cells","Mechanisms","Regenerative_endpoints","Evidence_IDs"
"FS0487","3D-printed titanium scaffolds coated with a multifunctional photothermal-responsive hydrogel","Macrophages/innate immune cells; Mesenchymal stem/stromal cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV001243; EV001244; EV001245; EV001246"
"FS0490","EGCG@MAB hydrogel","Senescent cells","Mitochondrial homeostasis/mitophagy","Wound healing/skin regeneration","EV001258; EV001259; EV001261"
"FS0598","α-Klotho gene-activated scaffold","Endothelial/vascular cells; Mesenchymal stem/stromal cells","Angiogenic/HIF–VEGF signaling","Wound healing/skin regeneration","EV001385; EV001386; EV001387; EV001388"
"FS0624","Lycium barbarum-derived carbon dots","Mesenchymal stem/stromal cells","Apoptosis/cell-survival regulation","Bone regeneration/osteogenesis","EV001394; EV001395; EV001396"
"FS0696","miR-29b-5p-loaded stem-cell-homing hydrogel","Chondrocytes/cartilage progenitors","Epigenetic/chromatin regulation","Cartilage regeneration/chondroprotection","EV001461; EV001462; EV001463"
"FS0709","Cerium-oxide-nanoparticle-carrying hUCMSCs","Mesenchymal stem/stromal cells","ROS/oxidative-stress control","Tendon/ligament regeneration","EV001481; EV001482; EV001483"
"FS0738","Gelatin-microcarrier-based MSC microtissues","Mesenchymal stem/stromal cells","Apoptosis/cell-survival regulation","Neural regeneration/function","EV001508; EV001509; EV001510"
"FS0765","Antibody-functionalized copper-sulfate nanoparticles","Chondrocytes/cartilage progenitors; Senescent cells","Apoptosis/cell-survival regulation","Cartilage regeneration/chondroprotection","EV001518; EV001519; EV001520; EV001521"
"FS0783","Calcium-silicate ion-releasing biomaterial","Fibroblasts/keratinocytes/skin cells","p16/p21/p53–Rb cell-cycle arrest","Wound healing/skin regeneration","EV001533; EV001534; EV001535"
"FS0913","GLRX3+ extracellular-vesicle redox-modulatory hydrogel","Mesenchymal stem/stromal cells; Nucleus pulposus/annulus fibrosus cells","ROS/oxidative-stress control","Intervertebral-disc regeneration","EV001634; EV001635; EV001636; EV001637"
"FS1052","EMHS HxMoO3-loaded bone-targeting lipid nanoparticles","Endothelial/vascular cells; Mesenchymal stem/stromal cells","Mitochondrial homeostasis/mitophagy","Bone regeneration/osteogenesis","EV001698; EV001699; EV001700; EV001701"
