"Node_ID","Node_type","Canonical_name","Synonyms","Description","Degree","Number_of_studies","Number_of_relation_types"
"CAR000057","TherapeuticCargo","SMSCs",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000058","TherapeuticCargo","Spatholobi Caulis",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CAR000059","TherapeuticCargo","stem cells",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000060","TherapeuticCargo","tannic acid",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",4,2,2
"CAR000061","TherapeuticCargo","TGF-β3",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000062","TherapeuticCargo","TIMP-3",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CAR000063","TherapeuticCargo","TPA-TCNQ",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000064","TherapeuticCargo","TPG",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CAR000065","TherapeuticCargo","VGX-1027",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CEL000001","TargetCell","Cardiomyocytes/cardiac progenitors",,"A cell type directly acted upon, treated, or targeted by a material platform in the source study.",2,2,1
"CEL000002","TargetCell","Chondrocytes/cartilage progenitors",,"A cell type directly acted upon, treated, or targeted by a material platform in the source study.",30,30,1
"CEL000003","TargetCell","Endothelial/vascular cells",,"A cell type directly acted upon, treated, or targeted by a material platform in the source study.",26,26,1
"CEL000004","TargetCell","Fibroblasts/keratinocytes/skin cells",,"A cell type directly acted upon, treated, or targeted by a material platform in the source study.",22,22,1
"CEL000005","TargetCell","Hepatic cells",,"A cell type directly acted upon, treated, or targeted by a material platform in the source study.",1,1,1
"CEL000007","TargetCell","Macrophages/innate immune cells",,"A cell type directly acted upon, treated, or targeted by a material platform in the source study.",33,33,1
"CEL000008","TargetCell","Mesenchymal stem/stromal cells",,"A cell type directly acted upon, treated, or targeted by a material platform in the source study.",100,100,1
"CEL000009","TargetCell","Neural stem cells/neurons/glia",,"A cell type directly acted upon, treated, or targeted by a material platform in the source study.",2,2,1
"CEL000010","TargetCell","Nucleus pulposus/annulus fibrosus cells",,"A cell type directly acted upon, treated, or targeted by a material platform in the source study.",26,26,1
"CEL000011","TargetCell","Osteoblasts/osteocytes/osteoclasts",,"A cell type directly acted upon, treated, or targeted by a material platform in the source study.",11,11,1
"CEL000012","TargetCell","Periodontal/dental stem cells",,"A cell type directly acted upon, treated, or targeted by a material platform in the source study.",5,5,1
"CEL000013","TargetCell","Senescent cells",,"A cell type directly acted upon, treated, or targeted by a material platform in the source study.",48,48,1
"CEL000014","TargetCell","Senescent human articular chondrocytes",,"A cell type directly acted upon, treated, or targeted by a material platform in the source study.",1,1,1
"CEL000015","TargetCell","Skeletal-muscle/satellite cells",,"A cell type directly acted upon, treated, or targeted by a material platform in the source study.",2,2,1
"CEL000016","TargetCell","Tenocytes/tendon progenitors",,"A cell type directly acted upon, treated, or targeted by a material platform in the source study.",3,3,1
"CEL000017","TargetCell","Vascular endothelial cells (HUVECs)",,"A cell type directly acted upon, treated, or targeted by a material platform in the source study.",1,1,1
"COM000001","MaterialComposition","ABT-263",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000002","MaterialComposition","alginate",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",2,2,1
"COM000003","MaterialComposition","α-arbutin",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000004","MaterialComposition","Aminated hollow mesoporous Prussian Blue nanozyme",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000005","MaterialComposition","aminated mesoporous silica nanoparticles",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000006","MaterialComposition","approximately 40% HA",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000007","MaterialComposition","astaxanthin",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000008","MaterialComposition","BAI1-loaded mesoporous silica nanoparticles",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000009","MaterialComposition","Bletilla striata polysaccharide",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000010","MaterialComposition","borax",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000011","MaterialComposition","boric acid-functionalized GelMA hydrogels",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000012","MaterialComposition","C60(OH)n-based nanoparticles co-encapsulating Car",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000013","MaterialComposition","Calcium alginate",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000014","MaterialComposition","CAP-EXO-si-STING",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000015","MaterialComposition","Carboxymethyl chitosan",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000016","MaterialComposition","Ce–tannic-acid@BSA nanoparticles",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000017","MaterialComposition","cerium oxide nanoparticles",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",2,2,1
"COM000018","MaterialComposition","Chitosan",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",4,4,1
"COM000019","MaterialComposition","cholesterol",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000020","MaterialComposition","chondroitin-sulfate-methacrylate hydrogel",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000021","MaterialComposition","CK2.1",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000022","MaterialComposition","collagen",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",2,2,1
"COM000023","MaterialComposition","collagen scaffold",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000024","MaterialComposition","α-Ketoglutarate (αKG)",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000025","MaterialComposition","Curcumin",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000026","MaterialComposition","CXCL12",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000027","MaterialComposition","CXCR4-surface-engineered macrophages",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000028","MaterialComposition","Decellularized adipose tissue",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000029","MaterialComposition","dental-pulp mesenchymal stem cells",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000030","MaterialComposition","DSPE-PEG2000",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000031","MaterialComposition","DSPE-TK-PEG2000",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000032","MaterialComposition","Dual-engineered extracellular vesicles",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000033","MaterialComposition","dual-network hydrogel",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000034","MaterialComposition","Engineered extracellular vesicles",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000035","MaterialComposition","EVs from SOX9-overexpressing human BMSCs (SBEVs)",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000036","MaterialComposition","Extracellular-matrix scaffold",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000037","MaterialComposition","Fe3O4 nanoparticles",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",2,2,1
"COM000038","MaterialComposition","FGF-4",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000039","MaterialComposition","FGF18 mRNA",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000040","MaterialComposition","fisetin",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000041","MaterialComposition","galactose",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000042","MaterialComposition","Gastrodia elata polysaccharide",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000043","MaterialComposition","gelatin",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",5,5,1
"COM000044","MaterialComposition","gelatin methacryloyl (GelMA)",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",2,2,1
"COM000045","MaterialComposition","Gelatin microcarriers",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000046","MaterialComposition","GelMA",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",5,5,1
"COM000047","MaterialComposition","GelMA hydrogel",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",2,2,1
"COM000048","MaterialComposition","ginsenoside Rg1",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000049","MaterialComposition","glucose oxidase",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000050","MaterialComposition","Glucose-responsive hydrogel matrix",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000051","MaterialComposition","GPQ hydrogel",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000052","MaterialComposition","Graphene oxide (GO)",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000053","MaterialComposition","greigite nanozyme",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000054","MaterialComposition","HA-ADH-PBA",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000055","MaterialComposition","HA-PBA",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000056","MaterialComposition","HA/PLL-Glu/TPA middle layer loaded with urolithin B",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000057","MaterialComposition","HA-SH",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000058","MaterialComposition","HABP-PEG-COLBP peptide",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000059","MaterialComposition","HBPD",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000060","MaterialComposition","n-Butylphthalide (NBP)",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000061","MaterialComposition","Honey",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000062","MaterialComposition","hTERT mRNA",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000063","MaterialComposition","human umbilical-cord mesenchymal stromal cells",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000064","MaterialComposition","HxMoO3",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000065","MaterialComposition","Hyaluronic acid",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000066","MaterialComposition","Aldehyde- and methacrylate-modified hyaluronic acid (AHAMA)",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000067","MaterialComposition","hydrogel coating",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000068","MaterialComposition","Glycerol monostearate (TG-18)",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000069","MaterialComposition","hydrogel matrix",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",3,3,1
"COM000070","MaterialComposition","hydrogel scaffold matrix",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000071","MaterialComposition","IGF-1",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000072","MaterialComposition","Inner PLL-Glu/TPA phenylboronate network",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000073","MaterialComposition","isoliquiritigenin",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000074","MaterialComposition","LINE1 antisense oligonucleotide",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000075","MaterialComposition","linear sodium alginate",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000076","MaterialComposition","lipid nanoparticles",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000077","MaterialComposition","Lycium barbarum polysaccharide",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000078","MaterialComposition","M2-macrophage-derived exosomes",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000079","MaterialComposition","macrophage membrane",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000080","MaterialComposition","magnetite nanoparticles",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000081","MaterialComposition","manganese",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000082","MaterialComposition","mesoporous Prussian Blue nanozyme",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000083","MaterialComposition","mesoporous silica nanoparticles",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000084","MaterialComposition","MET-MA carbon dots",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000085","MaterialComposition","MET@MSNs",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000086","MaterialComposition","metal-organic-framework coating",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000087","MaterialComposition","metformin",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",4,4,1
"COM000088","MaterialComposition","metformin hydrochloride",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000089","MaterialComposition","Methacrylated silk fibroin",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000091","MaterialComposition","microneedle patch",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000092","MaterialComposition","mineralized collagen fiber bundles",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000093","MaterialComposition","miR-197-3p",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000094","MaterialComposition","miR-200",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000095","MaterialComposition","miR-29-targeting antisense oligonucleotide",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000096","MaterialComposition","MMZ",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000097","MaterialComposition","Mn2+-6-hydroxykaempferol MPN nanoparticles",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000098","MaterialComposition","Mn3O4 nanoparticles",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000099","MaterialComposition","MnO₂ nanoenzymes",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000100","MaterialComposition","Nano-hydroxyapatite",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000101","MaterialComposition","nanofiber patch",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000103","MaterialComposition","Nanoscale calcium hydride (Nano-CaH2)",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000104","MaterialComposition","CuSn dual-atom-site nanozymes (CuSnDASNs)",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000105","MaterialComposition","Carboxymethyl chitosan (CMCS)",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000106","MaterialComposition","Oxidized dextran (Ox-Dex)",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000107","MaterialComposition","Oxidized hyaluronic acid",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000108","MaterialComposition","Oxidized sodium alginate (OSA)",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000109","MaterialComposition","oxidized starch",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000110","MaterialComposition","Oxidized starch (OST)",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000111","MaterialComposition","P334 peptide",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000112","MaterialComposition","Parathyroid-hormone-related peptide",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000113","MaterialComposition","PCL",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000114","MaterialComposition","PCL nanofibers",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000115","MaterialComposition","PEG-HS",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000116","MaterialComposition","PEGDA",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000117","MaterialComposition","PEGS-NH2/poly(γ-glutamic acid) hydrogel",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000118","MaterialComposition","pericyte membrane",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000119","MaterialComposition","pH-responsive therapeutic cargo",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
"COM000120","MaterialComposition","PHCF-Gel hydrogel network",,"A chemical, biological, polymeric, inorganic, or structural constituent of a material platform.",1,1,1
