"Node_ID","Node_type","Canonical_name","Degree","Number_of_studies","Number_of_relation_types"
"MAT000209","MaterialPlatform","PTHrP supramolecular-peptide-loaded dual-network hydrogel",9,1,6
"MAT000280","MaterialPlatform","Zn@MOF-gel dual-polyphenol ECM-mimetic hydrogel",9,1,6
"MAT000228","MaterialPlatform","rhCOL17-P334 conjugate",9,1,6
"MAT000026","MaterialPlatform","Bioinspired Microgel Assembly of Liver-Derived Decellularized Extracellular Matrix",9,1,5
"MAT000194","MaterialPlatform","PEG-HS/TiO2 nanocomposite",9,1,5
"MAT000203","MaterialPlatform","Pro-regenerative cardiac-progenitor-secretome nanoparticles",9,1,4
"MAT000087","MaterialPlatform","GEA/NGel senolysis-targeting bioenergetic nanoplatform",8,1,7
"MAT000092","MaterialPlatform","GM-Gel glycyrrhizic-acid-microsphere-loaded GEP/chitosan hydrogel",8,1,7
"MAT000186","MaterialPlatform","PAA–EDA-grafted porous PEEK scaffold",8,1,7
"MAT000211","MaterialPlatform","QCS-OST@Exos self-healing hydrogel",8,1,7
"MAT000215","MaterialPlatform","Quercetin-loaded homogeneous PLGA microspheres",8,1,7
"MAT000221","MaterialPlatform","Recombinant-Yap1-loaded platelet-derived exosomes",8,1,7
"MAT000267","MaterialPlatform","TT@P-Gel hydrogel",8,1,7
"MAT000013","MaterialPlatform","α-Klotho gene-activated scaffold",8,1,7
"MAT000020","MaterialPlatform","Baghdadite Ceramics",8,1,6
"MAT000033","MaterialPlatform","CAP-CD56+CD271+ BMSC-exosome-loaded PVA/SA hydrogel",8,1,6
"MAT000055","MaterialPlatform","Curcumin/ZSM-5 electrospun nanofibers",8,1,6
"MAT000056","MaterialPlatform","D-EV-loaded thermosensitive injectable hydrogel",8,1,6
"MAT000106","MaterialPlatform","HPTC ECM-mimetic injectable hydrogel",8,1,6
"MAT000102","MaterialPlatform","Hierarchically patterned porous honey/silk-fibroin scaffold",8,1,6
"MAT000111","MaterialPlatform","Hydrogel-coated micro/nanostructured titanium implant",8,1,6
"MAT000128","MaterialPlatform","Lesion-localized hydrogels functionalized with engineered extracellular matrix",8,1,6
"MAT000154","MaterialPlatform","Mitochondrial-metabolism/efferocytosis-modulating microcarriers",8,1,6
"MAT000168","MaterialPlatform","Multifunctional pH-responsive microneedles",8,1,6
"MAT000193","MaterialPlatform","PDA@RES NIR-responsive core–shell nanoplatform",8,1,6
"MAT000224","MaterialPlatform","Res@Lipo@HMs hydrogel",8,1,6
"MAT000247","MaterialPlatform","SM@ME exosome-loaded methacrylated-silk-fibroin hydrogel",8,1,6
"MAT000243","MaterialPlatform","Senomorphic Small Extracellular Vesicles Delivered by a Tissue-Adhesive α-Lipoic-Acid Hydrogel",8,1,6
"MAT000253","MaterialPlatform","synFGF18 mRNA lipid nanoparticles",8,1,6
"MAT000005","MaterialPlatform","AAV-loaded extracellular-vesicle biomimetic gene-delivery system",8,1,5
"MAT000006","MaterialPlatform","ABT-263-loaded asymmetric composite wound dressing",8,1,5
"MAT000096","MaterialPlatform","GP@MgO asymmetric short-fiber aerogel",8,1,5
"MAT000113","MaterialPlatform","Hydrogen-generating injectable short-fiber hydrogel",8,1,5
"MAT000117","MaterialPlatform","ICAM1-directed MnO2@ZIF8/Tanshinone-IIA nanoplatform",8,1,5
"MAT000120","MaterialPlatform","IL37OI@MS responsive hydrogel microspheres",8,1,5
"MAT000124","MaterialPlatform","Injectable glycyrrhizic-acid hydrogel microspheres",8,1,5
"MAT000129","MaterialPlatform","LINE1-ASO-loaded selectin-binding-peptide-engineered extracellular vesicles",8,1,5
"MAT000139","MaterialPlatform","Metformin-loaded HA/gelatin electrospun nanofibers",8,1,5
"MAT000153","MaterialPlatform","Mitochondria-targeted MET-MA carbon dots",8,1,5
"MAT000157","MaterialPlatform","Mn3O4-nanoparticle photothermal hydrogel",8,1,5
"MAT000177","MaterialPlatform","NH@K nanozyme-reinforced hydrogel",8,1,5
"MAT000184","MaterialPlatform","P16-siRNA-incorporated organoid hydrogel/3D-bioprinted scaffold",8,1,5
"MAT000195","MaterialPlatform","Pericyte-membrane-coated saMAT2A lipid nanoparticles",8,1,5
"MAT000122","MaterialPlatform","Inflammation-responsive biomimetic hybrid nanovesicles",8,1,4
"MAT000141","MaterialPlatform","Metformin-releasing polydopamine-coated TiO2-nanotube titanium implant",8,1,4
"MAT000080","MaterialPlatform","Fmito@ACs hydrogel",7,1,6
"MAT000101","MaterialPlatform","HG-QNT nanocomposite hydrogel",7,1,6
"MAT000104","MaterialPlatform","Honey-incorporated electrospun nanofiber membrane",7,1,6
"MAT000135","MaterialPlatform","Lycium barbarum-derived carbon dots",7,1,6
"MAT000173","MaterialPlatform","Nanoceria-infused PCL nanofibrous scaffold",7,1,6
"MAT000192","MaterialPlatform","PCL/gelatin nanofibers containing TiO2 nanoparticles and MET@MSNs",7,1,6
"MAT000216","MaterialPlatform","Quercetin-loaded nanoparticles",7,1,6
"MAT000273","MaterialPlatform","YBEV-loaded GelMA hydrogel",7,1,6
"MAT000150","MaterialPlatform","miR-29b-5p-loaded stem-cell-homing hydrogel",7,1,6
"MAT000227","MaterialPlatform","rhBMP-2/rapamycin co-treatment without an engineered carrier",7,1,6
"MAT000004","MaterialPlatform","A20-CRISPRa injectable microspheres",7,1,5
"MAT000010","MaterialPlatform","Alginate–strontium/metformin-hydrochloride hydrogel beads",7,1,5
"MAT000017","MaterialPlatform","Asp10SAC4A supramolecular senolytic nanoplatform",7,1,5
"MAT000019","MaterialPlatform","Autophagy-enhancing injectable hydrogel microspheres",7,1,5
"MAT000023","MaterialPlatform","BFV-loaded engineered periosteum on a 3D-printed scaffold",7,1,5
"MAT000024","MaterialPlatform","BGSC-organoid (dCSEV hydrogel-based biomimetic gradient-structured cartilage organoid)",7,1,5
"MAT000030","MaterialPlatform","Bone-targeted senolytic delivery system",7,1,5
"MAT000040","MaterialPlatform","Cerium-oxide-nanoparticle-carrying hUCMSCs",7,1,5
"MAT000047","MaterialPlatform","Collagen-coated polyacrylamide hydrogels",7,1,5
"MAT000069","MaterialPlatform","Enucleated-MSC-derived mitochondria-transfer microvesicles",7,1,5
"MAT000072","MaterialPlatform","Extracellular-vesicle-conjugated functional-matrix hydrogel",7,1,5
"MAT000085","MaterialPlatform","GBC@PNA sono-piezoelectric scaffold",7,1,5
"MAT000103","MaterialPlatform","HIF1A@NNP nanoplatform",7,1,5
"MAT000115","MaterialPlatform","Hypoxic-exosome-loaded PLGA microspheres",7,1,5
"MAT000170","MaterialPlatform","N/S@M@P NAD+/SBI nanocomposite hydrogel",7,1,5
"MAT000171","MaterialPlatform","NADH-oxidase nanozyme",7,1,5
"MAT000176","MaterialPlatform","NE:TUB1-MNP magnetic nanoemulsion",7,1,5
"MAT000198","MaterialPlatform","Plasmid-DNA/Tanshinone-IIA stem-cell-homing hydrogel",7,1,5
"MAT000208","MaterialPlatform","PtdSer-modified circRNA-LNP-engineered macrophages",7,1,5
"MAT000217","MaterialPlatform","Quercetin-treated human-auricular-chondrocyte/GelMA construct",7,1,5
"MAT000250","MaterialPlatform","SP@V–C–gel engineered-microalgae DNA hydrogel",7,1,5
"MAT000237","MaterialPlatform","Senescence-targeted NAD+-dependent SIRT1-activating nanoplatform",7,1,5
"MAT000241","MaterialPlatform","Senolytic/proangiogenic smart hydrogel-coated implant",7,1,5
"MAT000254","MaterialPlatform","Synovium-targeting senolytic liposomes plus M2-macrophage exosomes",7,1,5
"MAT000185","MaterialPlatform","p16INK4a-siRNA nanoparticles",7,1,5
"MAT000018","MaterialPlatform","Astaxanthin-loaded bimetallic-MOF hydrogel scaffold",7,1,4
"MAT000043","MaterialPlatform","Chitosan-coated culture surfaces",7,2,4
"MAT000058","MaterialPlatform","DPMSC-loaded DAT–ALG hydrogel",7,1,4
"MAT000061","MaterialPlatform","Dual-engineered chondrocyte-targeted extracellular vesicles",7,1,4
"MAT000118","MaterialPlatform","IHP@Yam engineered biomimetic intervertebral disc",7,1,4
"MAT000127","MaterialPlatform","Iron oxide nanoparticles-driven mitochondrial renewal",7,1,4
"MAT000269","MaterialPlatform","Ultra-small quercetin nanotherapeutics",7,1,4
"MAT000178","MaterialPlatform","nHA/chitosan/PLGA bone-matrix-simulating scaffold",7,1,4
"MAT000029","MaterialPlatform","BMSC-laden salidroside–collagen hybrid scaffold (BMSCs-SCOL)",6,1,5
"MAT000022","MaterialPlatform","Bamboo-inspired hierarchical bone-repair scaffold",6,1,5
"MAT000064","MaterialPlatform","Electrostatically co-assembled extracellular-vesicle-infused hydrogel",6,1,5
"MAT000094","MaterialPlatform","GO/FeSe2 bio-heterojunction",6,1,5
"MAT000121","MaterialPlatform","Immunomodulating regenerating hydrogel",6,1,5
"MAT000136","MaterialPlatform","Magnesium-containing bioceramics stimulate exosomal miR-196a-5p secretion",6,1,5
"MAT000175","MaterialPlatform","Nanozyme-Integrated 3D-Printed Gradient Scaffold",6,1,5
"MAT000199","MaterialPlatform","Polyacrylamide/alginate viscoelastic hydrogel",6,1,5
"MAT000212","MaterialPlatform","Quaternized-chitosan injectable self-healing hydrogel",6,1,5
"MAT000251","MaterialPlatform","SRT1720-loaded calcium-phosphate/magnesium-phosphate nanocarriers",6,1,5
"MAT000260","MaterialPlatform","Three-Dimensional Bioprinted Scaffolds Loaded with Multifunctional Magnesium-Based Metal-Organic Frameworks",6,1,5
"MAT000264","MaterialPlatform","Tonsil-derived mesenchymal stem cells incorporated in reactive oxygen species-releasing hydrogel",6,1,5
"MAT000272","MaterialPlatform","Voronoi-curvature scaffolds",6,1,5
"MAT000274","MaterialPlatform","YDC-Gel-Zn pseudo-mussel-foot-protein hydrogel adhesive",6,1,5
"MAT000148","MaterialPlatform","miR-200/young-ECM bioscaffold",6,1,5
"MAT000238","MaterialPlatform","senescent metabolism-modulating hierarchical scaffold",6,1,5
"MAT000014","MaterialPlatform","Antibody-functionalized copper-sulfate nanoparticles",6,1,4
"MAT000027","MaterialPlatform","Biomimetic hydrogel delivers engineered exosomes",6,1,4
"MAT000049","MaterialPlatform","CTB nanoparticle-engineered MSC construct",6,1,4
"MAT000031","MaterialPlatform","CaH2-MN hierarchical calcium-hydride microneedle platform",6,1,4
"MAT000038","MaterialPlatform","CeO2 nanozymes",6,1,4
"MAT000048","MaterialPlatform","Cordycepin-Loaded Dental Pulp Stem Cell-Derived Exosomes",6,1,4
"MAT000053","MaterialPlatform","Curcumin-loaded mesoporous-silica/PCL-gelatin electrospun nanofiber scaffold",6,1,4
"MAT000054","MaterialPlatform","Curcumin-loaded milk-sEV/platelet-membrane hybrid vesicles",6,1,4
"MAT000068","MaterialPlatform","Engineered extracellular vesicles",6,1,4
"MAT000086","MaterialPlatform","GCA-NAb-loaded GelMA hydrogel",6,1,4
"MAT000095","MaterialPlatform","GOQD-based multifunctional bioactive scaffold",6,1,4
"MAT000165","MaterialPlatform","MSN@SIRT3/PEGS genetically engineered hydrogel",6,1,4
"MAT000137","MaterialPlatform","Magnetic-nanoparticle-coated fibroblast/ADSC constructs",6,1,4
"MAT000189","MaterialPlatform","PAS/ICG-Cu@ZOL phototherapeutic hydrogel dressing",6,1,4
"MAT000226","MaterialPlatform","Retinoic-acid-loaded cartilage organoids",6,1,4
"MAT000249","MaterialPlatform","SOX5/SOX9 mRNA lipid nanoparticles",6,1,4
"MAT000257","MaterialPlatform","Taurine@PB hydrogel",6,1,4
"MAT000057","MaterialPlatform","DASEA Regenbio bioreactor–microcarrier culture system",6,1,3
"MAT000059","MaterialPlatform","DS@Lip-FA (folate-modified denosumab-loaded liposomes)",6,1,3
"MAT000067","MaterialPlatform","Engineered-extracellular-vesicle-loaded GelMA scaffold",6,1,3
"MAT000225","MaterialPlatform","Resveratrol-doped polyurethane–polylactide material",6,1,3
"MAT000152","MaterialPlatform","miR/PBNP@Gel nanozyme-reinforced miR-197-3p delivery hydrogel",6,1,3
"MAT000252","MaterialPlatform","Surface-elastic StG hydrogels",5,1,5
"MAT000147","MaterialPlatform","miR-17-5p-engineered-sEV/GelMA hydrogel",5,1,5
"MAT000007","MaterialPlatform","Active Magnesium Boride/Alginate Hydrogels",5,1,4
"MAT000046","MaterialPlatform","CM-MTBM (CXCR4-engineered macrophages loaded with nanozyme-functionalized mitochondria)",5,1,4
"MAT000034","MaterialPlatform","CaSi2 nanoparticle-coated mesoporous bioactive-glass scaffold",5,1,4
"MAT000032","MaterialPlatform","Calcium-silicate ion-releasing biomaterial",5,1,4
"MAT000036","MaterialPlatform","Cell-deposited extracellular matrix",5,1,4
"MAT000050","MaterialPlatform","Cu–Fe3O4 nanozyme",5,1,4
"MAT000073","MaterialPlatform","Extracellular vesicles without an engineered carrier",5,1,4
"MAT000083","MaterialPlatform","G-P-M piezoelectric lubricating injectable hydrogel",5,1,4
"MAT000084","MaterialPlatform","Ganoderma-lucidum-polysaccharide nanocomposite",5,1,4
"MAT000100","MaterialPlatform","Heterojunction carbon nanotubes with photoimmobilized IGF-1",5,1,4
"MAT000126","MaterialPlatform","Iron–gold anti-senescence ion nanocarrier (AIN)",5,1,4
"MAT000159","MaterialPlatform","MOF-nanozyme-armored cryogel",5,1,4
"MAT000167","MaterialPlatform","MTBG melatonin-loaded bioactive-glass microspheres",5,1,4
"MAT000140","MaterialPlatform","Metformin-loaded mesoporous silica nanoparticles",5,1,4
"MAT000190","MaterialPlatform","PAZ hydrogel containing CZpz-MOF artificial antioxidase",5,1,4
"MAT000205","MaterialPlatform","Prussian Blue nanoparticles",5,1,4
"MAT000231","MaterialPlatform","Sandblasted/Acid-Etched Titanium Surface Modified with Calcium Phytate",5,1,4
"MAT000232","MaterialPlatform","Scaffold-free microtissues",5,1,4
"MAT000236","MaterialPlatform","Self-powered triboelectric-responsive EV-releasing microneedles",5,1,4
"MAT000240","MaterialPlatform","Senolytic intervention without an engineered carrier",5,1,4
"MAT000116","MaterialPlatform","hZIF8/Mn-hCaO2 composite hydrogel",5,1,4
"MAT000151","MaterialPlatform","miR-542-3p neonatal-muscle-EV-loaded microneedle patch",5,1,4
"MAT000044","MaterialPlatform","Chondrocyte-targeting exosome sustained-release platform",5,1,3
"MAT000060","MaterialPlatform","Dual-drug-encapsulated liposomal nanoparticles",5,1,3
"MAT000089","MaterialPlatform","GelMA/PNS/Alg@IGF-1 hydrogel",5,1,3
"MAT000144","MaterialPlatform","MicroSphere and MicroRod anisotropic GelMA microgels",5,1,3
"MAT000218","MaterialPlatform","R-spondin1-loaded small extracellular vesicles",5,1,3
"MAT000229","MaterialPlatform","ROS-scavenging mesoporous MOF nanoparticles",5,1,3
"MAT000230","MaterialPlatform","Ruxolitinib-loaded hierarchically biomimetic nanostructural scaffold",5,1,3
"MAT000245","MaterialPlatform","Silibinin/PLGA/collagen electrospun nanofibers",5,1,3
"MAT000107","MaterialPlatform","hTERT mRNA lipid nanoparticles",5,1,3
"MAT000146","MaterialPlatform","miR-146a-5p-engineered exosomes",5,1,3
"MAT000003","MaterialPlatform","A-Lipo/PAHM lesion-localized hydrogel microspheres",4,1,4
"MAT000051","MaterialPlatform","CUR@MSNs nanoplatform",4,1,4
"MAT000081","MaterialPlatform","FN9-10ELP extracellular-matrix-mimetic fusion protein",4,1,4
"MAT000109","MaterialPlatform","Human-iPSC-derived cell-engineered nanovesicles",4,1,4
"MAT000246","MaterialPlatform","SIRT1-activated-MSC gelatin hydrogel",4,1,4
"MAT000234","MaterialPlatform","Selenium-Containing Nano-Micelles",4,1,4
"MAT000239","MaterialPlatform","Senile-osteoporosis titanium implant",4,1,4
"MAT000262","MaterialPlatform","Three-dimensional self-assembling nanofiber matrix",4,1,4
"MAT000275","MaterialPlatform","Young-cell-secretome-EV-loaded three-dimensional ECM scaffold",4,1,4
"MAT000149","MaterialPlatform","miR-200b-3p-loaded Poloxamer-407 hydrogel",4,1,4
"MAT000009","MaterialPlatform","ADSC/acellular-dermal-matrix tissue-engineered membrane",4,1,3
"MAT000011","MaterialPlatform","Aligned-topography soft hydrogel substrates",4,1,3
"MAT000015","MaterialPlatform","Antioxidant Proline Carbon Dot-Composited Poly(L-methionine) Hydrogel",4,1,3
"MAT000070","MaterialPlatform","ER-targeted CRT derivative material",4,1,3
"MAT000066","MaterialPlatform","Engineered anti-senescence tracheal graft",4,1,3
"MAT000082","MaterialPlatform","Functionalized 3D-printed Ti6Al4V cell-climbing-frame scaffold",4,1,3
"MAT000108","MaterialPlatform","Human-chondrocyte/polymer-scaffold tissue-engineered construct",4,1,3
"MAT000110","MaterialPlatform","Hydrocaffeic-acid–chitosan/EGTA hydrogel",4,1,3
"MAT000123","MaterialPlatform","Injectable anti-senescence short fibers",4,1,3
"MAT000132","MaterialPlatform","LPS-releasing gelatin sponges with catechin/senolytic treatment",4,1,3
"MAT000143","MaterialPlatform","Microcarrier–bioreactor culture system",4,1,3
"MAT000158","MaterialPlatform","Mn4 tetranuclear manganese nanocluster",4,1,3
"MAT000202","MaterialPlatform","PPCG allicin-based biolubricating nanoplatform",4,1,3
"MAT000201","MaterialPlatform","Porcine small-intestinal-submucosa extracellular-matrix scaffold",4,1,3
"MAT000204","MaterialPlatform","Prussian-Blue-nanoparticle/ADSC composite treatment",4,1,3
"MAT000219","MaterialPlatform","Rapamycin-PLGA microparticles",4,1,3
"MAT000222","MaterialPlatform","Released from ZrO2/SiO2 coating resveratrol",4,1,3
"MAT000223","MaterialPlatform","Remodeling adipocytes’ lipid metabolism with a polycation loaded enzyme-active framework",4,1,3
"MAT000258","MaterialPlatform","TDN-miR-21-5p DNA tetrahedron nanocomplex",4,1,3
"MAT000263","MaterialPlatform","Three-dimensional TECA hydrogel",4,1,3
"MAT000261","MaterialPlatform","Three-dimensional hydrogel scaffolds",4,1,3
"MAT000270","MaterialPlatform","V156K-rapa-rHDL nanoparticles",4,1,3
"MAT000271","MaterialPlatform","Vitamin-E-doped sol–gel silica coating",4,1,3
"MAT000279","MaterialPlatform","ZIM1/hydrogel culture system",4,1,3
"MAT000188","MaterialPlatform","PARP1@PLS-PT100 targeted nanospheres",4,1,2
"MAT000220","MaterialPlatform","Recombinant humanized type III collagen (rhCol III)",4,1,2
"MAT000045","MaterialPlatform","CK2.1/Lac-Phe bilayer osteochondral scaffold",3,1,3
"MAT000052","MaterialPlatform","Curcumin-loaded liposomes",3,1,3
"MAT000112","MaterialPlatform","Hydrogel substrates for serially expanded MSCs",3,1,3
"MAT000164","MaterialPlatform","MSC-educated tendon (METn) construct",3,1,3
"MAT000145","MaterialPlatform","Microtopographic polymer substrates",3,1,3
"MAT000179","MaterialPlatform","Nonsenescent-MSC-retaining hydrogel system",3,1,3
"MAT000028","MaterialPlatform","BMP-2-loaded in vivo bioreactor scaffold system",3,1,2
"MAT000025","MaterialPlatform","Bioelectrically reprogramming hydrogel",3,1,2
"MAT000037","MaterialPlatform","CeNP enzyme-mimic nanofiber-bundle scaffold",3,1,2
"MAT000041","MaterialPlatform","Cerium oxide nanoparticles",3,1,2
"MAT000071","MaterialPlatform","EVsTβ4-loaded separable microneedle patch",3,1,2
"MAT000076","MaterialPlatform","Fibrin polymer matrix",3,1,2
"MAT000077","MaterialPlatform","Fibronectin/thermoresponsive-polymer scaffold",3,1,2
"MAT000093","MaterialPlatform","GMP-grade TDHLSP glass-microcarrier bioreactor system",3,1,2
"MAT000099","MaterialPlatform","Hardystonite (ZnCS; Ca2ZnSi2O7)",3,1,2
"MAT000119","MaterialPlatform","IKKβ-siRNA-loaded gold nanoclusters",3,1,2
"MAT000160","MaterialPlatform","Molybdenum disulfide nanoparticles",3,1,2
"MAT000174","MaterialPlatform","Nanotube-topography substrate",3,1,2
"MAT000181","MaterialPlatform","OI-EV-loaded mesoporous bioactive-glass scaffold",3,1,2
"MAT000207","MaterialPlatform","PSeR multihierarchy ROS-regulated hydrogel",3,1,2
"MAT000210","MaterialPlatform","PVA–gallic-acid supramolecular hydrogel",3,1,2
"MAT000197","MaterialPlatform","Phosphatidylserine liposomes (PSLs) used with carbonate-apatite granules",3,1,2
"MAT000206","MaterialPlatform","Prussian-Blue-nanozyme gene-editing platform",3,1,2
"MAT000259","MaterialPlatform","Tetrahedral framework nucleic acids",3,1,2
"MAT000042","MaterialPlatform","Chemically modified culture surfaces",2,1,2
"MAT000187","MaterialPlatform","PAAm–IGF-1/TNF-α biomaterial",2,1,2
"MAT000268","MaterialPlatform","Tunable-stiffness PDMS substrates",2,1,2
"MAT000039","MaterialPlatform","CeO2@Tau-loaded GelMA microneedle patch",2,1,1
"MAT000130","MaterialPlatform","Lipid-coated NMN-loaded amorphous-calcium-carbonate nanoparticles",2,1,1
"MAT000276","MaterialPlatform","Young-donor extracellular-vesicle nanoparticles",2,1,1
"MAT000281","MaterialPlatform","CeO2@HA-loaded photothermal Janus patch",1,1,1
"MAT000242","MaterialPlatform","Senomorphic-conjugated scaffold",1,1,1
